State,Total,White,African American,Native American,Asian,Pacific Islander,Other,Two or more races,% White,% African American,% Native American,% Asian,% Pacific Islander,% Other,% Two or more races
Oregon,4093465,3455810,79575,45426,169459,14823,120779,207593,0.8442261018477012,0.019439521285756687,0.011097200049346946,0.04139744690622736,0.0036211375937011798,0.029505321286489562,0.05071327103077711
Pennsylvania,12784227,10340877,1407047,23556,423180,3417,262396,323754,0.8088777678932015,0.11006117147325373,0.0018425830517558863,0.03310172762107556,0.0002672824880221542,0.020524979726971367,0.025324487745719784
Rhode Island,1056426,850105,67526,5304,36875,1437,62292,32887,0.8046990513296719,0.0639192901348509,0.005020701875947771,0.03490542640942196,0.0013602467186532706,0.058964849407341355,0.031130434124112812
South Carolina,4961119,3342552,1337644,16010,76870,2561,77386,108096,0.6737496117307405,0.26962546151382377,0.003227094532503655,0.015494488239447593,0.0005162141847434016,0.0155984970326251,0.02178863276611587
South Dakota,865454,732939,14524,77378,12953,218,5894,21548,0.846883832069642,0.016781943349964298,0.089407409290384,0.014966711113473391,0.0002518909150572994,0.006810298409851939,0.02489791485162701
Tennessee,6651194,5177478,1114434,19053,116375,4798,79206,139850,0.7784283543676519,0.16755397602295166,0.0028645984465345622,0.017496858458797022,0.0007213742374677388,0.011908538527067471,0.021026299939529654
Texas,27862596,20702709,3362283,135275,1300300,25228,1622087,714714,0.7430287185013198,0.12067371611747879,0.0048550752413737755,0.046668300398139496,0.0009054432688181675,0.05821736782889864,0.025651378643971295
Utah,3051217,2633283,32800,31702,70150,29463,164775,89044,0.8630271134435866,0.010749809010634118,0.010389952599241548,0.022990826283414128,0.009656147039033933,0.054003042064854775,0.02918310955923489
Vermont,624594,589379,7893,2177,9406,252,3163,12324,0.943619375146095,0.01263700900104708,0.003485464157516723,0.015059382574920668,0.0004034620889729969,0.005064089632625353,0.019731217398822276
Virginia,8411808,5707035,1601868,23156,532320,8379,228627,310423,0.6784552143843512,0.19043088002008604,0.002752797020569181,0.06328247149720964,0.000996099768325668,0.027179293678600367,0.03690324363085796
Washington,7288000,5516602,266977,94637,597215,48182,350251,414136,0.7569431942919869,0.03663240944017563,0.012985318331503843,0.08194497804610318,0.006611141602634468,0.04805858946212953,0.05682436882546652
West Virginia,1831102,1704195,69721,3851,14133,404,7494,31304,0.930693647868879,0.03807597829066868,0.002103105124673557,0.007718302967284182,0.00022063216576684422,0.004092617451130522,0.017095716131597258
Wisconsin,5778709,4941688,361653,52608,155252,1534,125644,140330,0.8551543259921897,0.06258370165377769,0.009103763487657884,0.026866208352073102,0.0002654572154437955,0.02174257260574983,0.024283970693108097
